,年度,年月日,カテゴリ,節,H_team,A_team,スコア,スタジアム,K/O時刻,入場者数,インターネット中継・TV放送
96,2012,20120331,J1,４,横浜Ｆ・マリノス,鹿島アントラーズ,0-0,日産ス,19:03,22126.0,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
97,2012,20120331,J1,４,サガン鳥栖,ヴィッセル神戸,3-0,ベアスタ,19:04,7719.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
98,2012,20120401,J2,６,栃木ＳＣ,ジェフユナイテッド千葉,2-1,栃木グ,13:03,4769.0,スカパー／ｅ２／スカパー光／とちぎテレビ（録）
99,2012,20120401,J2,６,松本山雅ＦＣ,カターレ富山,0-3,松本,13:03,8529.0,スカパー／ｅ２／スカパー光／長野放送
100,2012,20120401,J2,６,ガイナーレ鳥取,湘南ベルマーレ,1-2,とりスタ,13:03,2086.0,スカパー／ｅ２（録）／スカパー光／日本海テレビ
101,2012,20120401,J2,６,ロアッソ熊本,ＦＣ岐阜,3-0,水前寺,13:03,3930.0,スカパー／ｅ２（録）／スカパー光
102,2012,20120401,J2,６,モンテディオ山形,水戸ホーリーホック,0-0,ＮＤスタ,13:04,6179.0,スカパー／ｅ２／スカパー光
103,2012,20120401,J2,６,京都サンガF.C.,アビスパ福岡,3-2,鴨池,13:05,7224.0,スカパー／ｅ２／スカパー光／ＫＢＳ京都（録）
104,2012,20120401,J2,６,ザスパクサツ群馬,横浜ＦＣ,1-1,正田スタ,15:05,6891.0,スカパー／ｅ２／スカパー光／群馬テレビ
105,2012,20120401,J2,６,ヴァンフォーレ甲府,ギラヴァンツ北九州,1-2,中銀スタ,16:03,9486.0,スカパー／ｅ２／スカパー光
106,2012,20120401,J2,６,ＦＣ町田ゼルビア,東京ヴェルディ,1-2,町田,16:04,6288.0,スカパー／ｅ２／スカパー光
107,2012,20120401,J2,６,徳島ヴォルティス,ファジアーノ岡山,1-2,鳴門大塚,16:04,5121.0,スカパー／ｅ２／スカパー光／ＮＨＫ徳島
108,2012,20120401,J2,６,大分トリニータ,愛媛ＦＣ,1-0,大銀ド,16:05,8082.0,スカパー／ｅ２／スカパー光
109,2012,20120404,ＹＮＣ 予選Ａグループ,２,ベガルタ仙台,サガン鳥栖,2-0,ユアスタ,19:03,7236.0,スカパー！
110,2012,20120404,ＹＮＣ 予選Ａグループ,２,ジュビロ磐田,浦和レッズ,4-3,ヤマハ,19:04,7824.0,スカパー！
111,2012,20120404,ＹＮＣ 予選Ａグループ,２,サンフレッチェ広島,川崎フロンターレ,1-1,広島ビ,19:04,6413.0,スカパー！
112,2012,20120404,ＹＮＣ 予選Ｂグループ,２,鹿島アントラーズ,大宮アルディージャ,1-0,カシマ,19:00,6515.0,フジテレビＮＥＸＴ
113,2012,20120404,ＹＮＣ 予選Ｂグループ,２,清水エスパルス,アルビレックス新潟,1-0,アウスタ,19:04,7479.0,スカパー！
114,2012,20120404,ＹＮＣ 予選Ｂグループ,２,横浜Ｆ・マリノス,北海道コンサドーレ札幌,1-2,ニッパ球,19:33,7148.0,スカパー！
115,2012,20120407,J1,５,ベガルタ仙台,ジュビロ磐田,2-2,ユアスタ,14:03,13147.0,スカパー／ｅ２／スカパー光／ＮＨＫ仙台／ＮＨＫ静岡
116,2012,20120407,J1,５,名古屋グランパス,サガン鳥栖,1-0,豊田ス,14:03,13824.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋／ＮＨＫ佐賀
117,2012,20120407,J1,５,ヴィッセル神戸,清水エスパルス,0-1,ホームズ,14:04,12709.0,スカパー／ｅ２／スカパー光
118,2012,20120407,J1,５,北海道コンサドーレ札幌,柏レイソル,0-2,札幌ド,14:05,14023.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
119,2012,20120407,J1,５,アルビレックス新潟,横浜Ｆ・マリノス,0-0,東北電ス,15:04,15854.0,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ新潟
120,2012,20120407,J1,５,大宮アルディージャ,セレッソ大阪,0-3,ＮＡＣＫ,16:03,8180.0,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
121,2012,20120407,J1,５,鹿島アントラーズ,浦和レッズ,1-3,カシマ,17:04,23507.0,スカパー／ｅ２／スカパー光
122,2012,20120407,J1,５,サンフレッチェ広島,ガンバ大阪,4-1,広島ビ,19:04,12318.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
123,2012,20120408,J1,５,川崎フロンターレ,ＦＣ東京,0-1,等々力,16:03,20996.0,スカパー／ｅ２／スカパー光
124,2012,20120408,J2,７,栃木ＳＣ,ロアッソ熊本,2-0,栃木グ,13:03,2999.0,スカパー／ｅ２／スカパー光／とちぎテレビ（録）
125,2012,20120408,J2,７,東京ヴェルディ,徳島ヴォルティス,2-0,味スタ,13:03,3110.0,スカパー／ｅ２／スカパー光
126,2012,20120408,J2,７,ファジアーノ岡山,松本山雅ＦＣ,1-0,カンスタ,13:03,7877.0,スカパー／ｅ２／スカパー光／岡山放送
127,2012,20120408,J2,７,ギラヴァンツ北九州,ガイナーレ鳥取,1-0,本城,13:03,3230.0,スカパー／ｅ２（録）／スカパー光
128,2012,20120408,J2,７,水戸ホーリーホック,ジェフユナイテッド千葉,0-1,Ｋｓスタ,13:04,5373.0,スカパー／ｅ２／スカパー光
129,2012,20120408,J2,７,愛媛ＦＣ,アビスパ福岡,4-2,ニンスタ,13:04,3035.0,スカパー／ｅ２／スカパー光／ＮＨＫ松山
130,2012,20120408,J2,７,横浜ＦＣ,モンテディオ山形,1-2,ニッパ球,16:03,5014.0,スカパー／ｅ２／スカパー光
131,2012,20120408,J2,７,ヴァンフォーレ甲府,大分トリニータ,1-0,中銀スタ,16:03,9651.0,スカパー／ｅ２／スカパー光
132,2012,20120408,J2,７,湘南ベルマーレ,ＦＣ町田ゼルビア,2-0,ＢＭＷス,16:04,7035.0,スカパー／ｅ２（録）／スカパー光
133,2012,20120408,J2,７,カターレ富山,ザスパクサツ群馬,1-2,富山,16:04,2696.0,スカパー／ｅ２／スカパー光
134,2012,20120408,J2,７,ＦＣ岐阜,京都サンガF.C.,0-1,長良川,16:04,3408.0,スカパー／ｅ２／スカパー光
135,2012,20120414,J1,６,柏レイソル,ベガルタ仙台,2-3,柏,13:03,12318.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）
136,2012,20120414,J1,６,ＦＣ東京,鹿島アントラーズ,1-2,味スタ,13:04,19279.0,スカパー／ｅ２／スカパー光
137,2012,20120414,J1,６,横浜Ｆ・マリノス,大宮アルディージャ,1-1,ニッパ球,14:03,7101.0,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
138,2012,20120414,J1,６,浦和レッズ,ヴィッセル神戸,2-0,埼玉,15:04,25894.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／テレ玉
139,2012,20120414,J1,６,名古屋グランパス,北海道コンサドーレ札幌,3-1,豊田ス,16:03,12896.0,スカパー／ｅ２／スカパー光
140,2012,20120414,J1,６,清水エスパルス,ジュビロ磐田,3-2,アウスタ,16:04,16334.0,スカパー／ｅ２／スカパー光
141,2012,20120414,J1,６,サガン鳥栖,サンフレッチェ広島,1-0,ベアスタ,18:34,9735.0,スカパー／ｅ２／スカパー光
142,2012,20120414,J1,６,ガンバ大阪,川崎フロンターレ,3-2,万博,19:04,17134.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
143,2012,20120414,J1,６,セレッソ大阪,アルビレックス新潟,0-1,金鳥スタ,19:04,9154.0,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
144,2012,20120415,J2,８,モンテディオ山形,カターレ富山,1-0,ＮＤスタ,13:04,6460.0,スカパー／ｅ２／スカパー光
145,2012,20120415,J2,８,ＦＣ町田ゼルビア,栃木ＳＣ,0-3,町田,13:04,3682.0,スカパー／ｅ２（録）／スカパー光
146,2012,20120415,J2,８,ロアッソ熊本,松本山雅ＦＣ,0-3,水前寺,13:04,5472.0,スカパー／ｅ２／スカパー光／熊本放送
147,2012,20120415,J2,８,ザスパクサツ群馬,愛媛ＦＣ,1-0,正田スタ,13:08,2488.0,スカパー／ｅ２／スカパー光
148,2012,20120415,J2,８,京都サンガF.C.,東京ヴェルディ,1-0,西京極,14:05,8741.0,スカパー／ｅ２／スカパー光／ＫＢＳ京都（録）
149,2012,20120415,J2,８,ジェフユナイテッド千葉,ファジアーノ岡山,0-0,フクアリ,16:03,9056.0,スカパー／ｅ２／スカパー光
150,2012,20120415,J2,８,ガイナーレ鳥取,ヴァンフォーレ甲府,0-0,とりスタ,16:03,2526.0,スカパー／ｅ２／スカパー光
151,2012,20120415,J2,８,アビスパ福岡,水戸ホーリーホック,1-1,レベスタ,16:03,4878.0,スカパー／ｅ２（録）／スカパー光
152,2012,20120415,J2,８,湘南ベルマーレ,横浜ＦＣ,3-2,ＢＭＷス,16:04,7111.0,スカパー／ｅ２／スカパー光／テレビ神奈川
153,2012,20120415,J2,８,ＦＣ岐阜,ギラヴァンツ北九州,1-0,長良川,16:04,2920.0,スカパー／ｅ２（録）／スカパー光
154,2012,20120415,J2,８,大分トリニータ,徳島ヴォルティス,0-0,大銀ド,16:05,7607.0,スカパー／ｅ２／スカパー光
155,2012,20120418,ＹＮＣ 予選Ａグループ,３,川崎フロンターレ,ベガルタ仙台,3-1,等々力,19:00,8186.0,フジテレビＮＥＸＴ
156,2012,20120418,ＹＮＣ 予選Ａグループ,３,ジュビロ磐田,サンフレッチェ広島,1-0,ヤマハ,19:04,6372.0,スカパー！
157,2012,20120418,ＹＮＣ 予選Ａグループ,３,浦和レッズ,セレッソ大阪,1-4,埼玉,19:30,16533.0,フジテレビＯＮＥ
158,2012,20120418,ＹＮＣ 予選Ｂグループ,３,北海道コンサドーレ札幌,鹿島アントラーズ,1-2,札幌ド,19:03,6877.0,スカパー！
159,2012,20120418,ＹＮＣ 予選Ｂグループ,３,アルビレックス新潟,ヴィッセル神戸,1-0,東北電ス,19:03,8158.0,スカパー！
160,2012,20120418,ＹＮＣ 予選Ｂグループ,３,清水エスパルス,横浜Ｆ・マリノス,1-0,アウスタ,19:04,8753.0,スカパー！
161,2012,20120421,J1,７,ジュビロ磐田,横浜Ｆ・マリノス,1-0,ヤマハ,14:03,11965.0,スカパー／ｅ２／スカパー光／静岡放送
162,2012,20120421,J1,７,北海道コンサドーレ札幌,川崎フロンターレ,2-3,札幌ド,14:04,11119.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ札幌
163,2012,20120421,J1,７,ヴィッセル神戸,柏レイソル,3-1,ホームズ,14:04,10859.0,スカパー／ｅ２／スカパー光／ＮＨＫ神戸
164,2012,20120421,J1,７,サンフレッチェ広島,名古屋グランパス,1-1,広島ビ,14:05,11123.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
165,2012,20120421,J1,７,鹿島アントラーズ,セレッソ大阪,3-2,カシマ,15:03,12110.0,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
166,2012,20120421,J1,７,サガン鳥栖,アルビレックス新潟,1-0,佐賀,17:05,5432.0,スカパー／ｅ２／スカパー光
167,2012,20120421,J1,７,大宮アルディージャ,浦和レッズ,2-0,ＮＡＣＫ,18:33,12709.0,スカパー／ｅ２／スカパー光
168,2012,20120421,J1,７,ベガルタ仙台,ＦＣ東京,4-0,ユアスタ,19:04,17192.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
169,2012,20120422,J1,７,ガンバ大阪,清水エスパルス,3-1,万博,19:03,8548.0,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
