,第n回,種別,No,開催日,試合結果,くじ結果,当選金_1,当選金_2,当選金_3,次回への繰越金_1,次回への繰越金_2,次回への繰越金_3,当せん口数_1,当せん口数_2,当せん口数_3,販売開始日,販売終了日,結果発表日,払戻開始日,払戻期限,ホーム,アウェイ
103,555,toto,2,20120331,0-1,2,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),ＦＣ東京,サンフレッチェ広島
104,555,toto,3,20120331,1-1,0,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),浦和レッズ,川崎フロンターレ
105,555,toto,4,20120331,1-0,1,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),ジュビロ磐田,柏レイソル
106,555,toto,5,20120331,1-2,2,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),セレッソ大阪,ベガルタ仙台
107,555,toto,6,20120331,1-1,0,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),アルビレックス新潟,ガンバ大阪
108,555,toto,7,20120331,1-0,1,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),清水エスパルス,北海道コンサドーレ札幌
109,555,toto,8,20120331,0-0,0,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),横浜Ｆ・マリノス,鹿島アントラーズ
110,555,toto,9,20120401,0-3,2,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),松本山雅ＦＣ,カターレ富山
111,555,toto,10,20120401,3-2,1,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),京都サンガF.C.,アビスパ福岡
112,555,toto,11,20120331,3-0,1,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),サガン鳥栖,ヴィッセル神戸
113,555,toto,12,20120401,0-0,0,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),モンテディオ山形,水戸ホーリーホック
114,555,toto,13,20120401,2-1,1,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),栃木ＳＣ,ジェフユナイテッド千葉
115,555,mini toto-A組,1,20120331,1-1,0,40561,0,0,0,0,0,275,0,0,2012年03月24日(土),2012年03月31日(土),2012年03月31日(土),2012年04月03日(火),2013年04月02日(火),大宮アルディージャ,名古屋グランパス
116,555,mini toto-A組,2,20120331,0-1,2,40561,0,0,0,0,0,275,0,0,2012年03月24日(土),2012年03月31日(土),2012年03月31日(土),2012年04月03日(火),2013年04月02日(火),ＦＣ東京,サンフレッチェ広島
